class,wmc,lcom*,cbo,nom
concordia.soen6611.igo_tvm.controllers.BuyNewTicketController,64,235.0,29,0
concordia.soen6611.igo_tvm.Services.TextZoomService,39,75.0,5,0
concordia.soen6611.igo_tvm.controllers.HomeController,36,134.0,28,0
concordia.soen6611.igo_tvm.controllers.PaymentController,36,0.0,25,0
concordia.soen6611.igo_tvm.controllers.CardReloadAmountController,34,90.0,26,0
concordia.soen6611.igo_tvm.controllers.CardReloadController,23,9.0,30,0
concordia.soen6611.igo_tvm.controllers.CashSubmissionController,23,0.0,21,0
concordia.soen6611.igo_tvm.models.ExceptionDialog,19,10.0,12,0
concordia.soen6611.igo_tvm.controllers.PaymentSuccessController,18,30.0,23,0
concordia.soen6611.igo_tvm.exceptions.AbstractCustomException,12,17.0,2,0
concordia.soen6611.igo_tvm.controllers.MobileWalletController,11,14.0,23,0
concordia.soen6611.igo_tvm.Services.ContrastManager,11,5.0,4,0
concordia.soen6611.igo_tvm.controllers.ErrorDialogController,10,2.0,11,0
concordia.soen6611.igo_tvm.controllers.WelcomeScreenController,8,0.0,12,0
concordia.soen6611.igo_tvm.models.MetroRatePassProxy,7,9.0,0,0
concordia.soen6611.igo_tvm.models.OrderSummary,7,9.0,0,0
concordia.soen6611.igo_tvm.models.Payment,7,3.0,0,0
concordia.soen6611.igo_tvm.Services.I18nService,7,2.0,6,0
concordia.soen6611.igo_tvm.Services.PaymentService,6,0.0,2,0
concordia.soen6611.igo_tvm.Services.CardReloadService,5,1.0,3,0
concordia.soen6611.igo_tvm.Services.PaymentSession,5,0.0,4,0
concordia.soen6611.igo_tvm.Services.FareRateService,4,6.0,0,0
concordia.soen6611.igo_tvm.IGoApplication,4,0.0,9,0
concordia.soen6611.igo_tvm.Services.FareRateServiceImpl,4,0.0,3,0
concordia.soen6611.igo_tvm.controllers.CardReloadAmountController$Anonymous1,3,0.0,1,0
concordia.soen6611.igo_tvm.controllers.CardReloadAmountController$Anonymous2,3,0.0,1,0
concordia.soen6611.igo_tvm.exceptions.DatabaseException,2,1.0,1,0
concordia.soen6611.igo_tvm.exceptions.HardwareException,2,1.0,1,0
concordia.soen6611.igo_tvm.exceptions.NetworkException,2,1.0,1,0
concordia.soen6611.igo_tvm.exceptions.UserException,2,1.0,1,0
concordia.soen6611.igo_tvm.models.PassType,2,0.0,0,0
concordia.soen6611.igo_tvm.config.MessagesConfig,1,0.0,4,0
concordia.soen6611.igo_tvm.Services.PaymentSession$Origin,0,0.0,0,0
concordia.soen6611.igo_tvm.controllers.PaymentController$Method,0,0.0,0,0
